UID,Facility_Name,Owner,Lat,Lon,City,County,State,Zipcode,Standard,Type_of_Facility,Congressional_District,Rep,Party,Simple_Status,Status,Source_Name,Source_Link,FRS_ID,dem_frs_id,EIS_ID,TRI_ID,GHGRP_ID,Total_Population_1_Mile,per_People_of_Color_1_Mile,per_Low_Income_1_Mile,per_5_and_Younger_1_Mile,per_65_and_Older_1_Mile,Total_Population_3_Miles,per_People_of_Color_3_Miles,per_Low_Income_3_Miles,per_5_and_Younger_3_Miles,per_65_and_Older_3_Miles,FRS_ID_CAA_Compliance,ECHO_Link_CAA_Compliance,CAA_Compliance_Status,Quarters_of_Past_12_in_Noncompliance,Quarters_of_Past_12_with_High_Priority_Violations,Formal_Enforcement_Actions_within_Past_5_Years,GHGRP_2023_GHG_Emissions_MTCO2e,NEI_2020_CAP_Emissions_tons,NEI_2020_HAP_Emissions_lbs
1001,Parter Medical Products Inc,,33.8766,-118.2627,Carson,Los Angeles,CA,90746,Sterilizer Rule,Commercial Sterilizer,CA44,Rep. Nanette Barragán,Democrat,No Information,No Information,,,"110021034780, 110071854886",110021034780,21482811,9074WPRTRS17115,0,15899,96,31,5,19,181480,96,33,6,14,110021034780,https://echo.epa.gov/detailed-facility-report?fid=110021034780,No Violation Identified,0,0,0,#N/A,#N/A,#N/A
1002,Applied Medical Resources,,33.6576,-117.7128,Irvine,Orange,CA,92618,Sterilizer Rule,Commercial Sterilizer,CA47,Rep. Dave Min,Democrat,No Information,No Information,,,110070094690,110070094690,0,9261WPPLDM941TL,0,5056,42,14,9,18,107814,55,18,7,14,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A
1003,"Sterigenics Us, Inc.",,33.9965,-118.1898,Los Angeles,Los Angeles,CA,90058,Sterilizer Rule,Commercial Sterilizer,CA42,Rep. Robert Garcia,Democrat,Received Exemption,Received Exemption,July 2025 Proclamation,https://www.whitehouse.gov/presidential-actions/2025/07/regulatory-relief-for-certain-stationary-sources-to-promote-american-security-with-respect-to-sterile-medical-equipment/,"110012150493, 110012150509, 110071786583",110012150493,10233211,"90058GRFFT4801E, 90058GRFFT4900G",0,26162,99,46,7,10,300481,98,50,6,10,110012150493,https://echo.epa.gov/detailed-facility-report?fid=110012150493,No Violation Identified,0,0,0,#N/A,2,625
1004,Steris Isomedix Services Inc,,32.5651,-116.9761,San Diego,San Diego,CA,92154,Sterilizer Rule,Commercial Sterilizer,CA52,Rep. Juan Vargas,Democrat,No Information,No Information,,,110006625474,110006625474,7125311,92154CSMDF7685S,0,938,76,31,3,9,17713,84,18,6,8,110006625474,https://echo.epa.gov/detailed-facility-report?fid=110006625474,No Violation Identified,0,0,0,#N/A,#N/A,147
1005,Stryker Sustainability Solutions,,33.3529,-111.9737,Phoenix,Maricopa,AZ,85044,Sterilizer Rule,Commercial Sterilizer,AZ4,Rep. Greg Stanton,Democrat,No Information,No Information,,,110055923336,110055923336,21483011,0,0,12009,58,29,7,15,106458,52,27,6,12,110055923336,https://echo.epa.gov/detailed-facility-report?fid=110055923336,No Violation Identified,0,0,0,#N/A,#N/A,113
1006,"Microvention, Inc.",,33.5841,-117.7296,Aliso Viejo,Orange,CA,92656,Sterilizer Rule,Commercial Sterilizer,CA40,Rep. Young Kim,Republican,No Information,No Information,,,110070119302,110070119302,21482411,0,0,26458,46,15,8,7,125172,40,15,5,23,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,0
1007,"Life Science Outsourcing, Inc",,33.9274,-117.9098,Brea,Orange,CA,92821,Sterilizer Rule,Commercial Sterilizer,CA45,Rep. Derek Tran,Democrat,No Information,No Information,,,110070848179,110070848179,21483111,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,1
1008,American Contract Systems Inc,,33.9062,-117.2865,Riverside,Riverside,CA,92518,Sterilizer Rule,Commercial Sterilizer,CA39,Rep. Mark Takano,Democrat,No Information,No Information,,,110071854385,110071854385,21480711,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,47
1009,The Jackson Laboratory,,38.6574,-121.4271,Sacramento,Sacramento,CA,95838,Sterilizer Rule,Commercial Sterilizer,CA6,Rep. Ami Bera,Democrat,No Information,No Information,,,110064286589,110064286589,21482111,0,0,4973,67,30,5,10,87872,67,45,7,10,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,1
1010,Baxter Healthcare Corporation,,36.3592,-92.3887,Mountain Home,Baxter,AR,72653,Sterilizer Rule,Commercial Sterilizer,AR1,Rep. Rick Crawford,Republican,No Information,No Information,,,110000743599,110000743599,1073211,72653BXTRH1900N,0,2836,11,34,3,27,12831,7,39,4,28,110000743599,https://echo.epa.gov/detailed-facility-report?fid=110000743599,No Violation Identified,5,4,2,#N/A,#N/A,"1,642"
